name,city_contact,country_contact,city_creator,country_creator,deliveryPoint_creator,west,east,north,south
0019c86b85ee5c706e43cf64d2e9ca99.xml,Athens,USA,Athens,USA,Dept. of Marine Sciences,-81.474300,-81.241800,31.337000,31.305200
002b602f989a7b0a1041e62f8c3ef69bdecb4d70.xml,Albuquerque,USA,Santa Barbara,USA,Marine Science Institute,NA,NA,NA,NA
0089da4eb7460832ec495dc1f0e334f9.xml,NA,NA,NA,NA,NA,-151.625,-143.875,61.375,58.75
00c8b38e1f510321aa982983345a47cdb9bd38c5.xml,Manhattan,US,Manhattan,US,"116 Ackert Hall, Division of Biology, Kansas State University",NA,NA,NA,NA
00f3e35cbcdddd188825918a52efd06a.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0114e1b5a0ac2b99bd2fca7069a72c69.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
012c0c9b9008750f26315641922d598b.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0150fd3b8b58c04f924ca20f1c67026d.xml,Fairbanks,USA,Fairbanks,United States,Biology and Wildlife Irving I; North Koyukuk Dr.,-148.321607,-148.31034,64.70138,64.696143
01615301d8be92955e1b6df9cc6917db.xml,Woods Hole,USA,Woods Hole,USA,The Ecosystems Center,-70.851,-70.845,42.724,42.719
01833a90cf8a8e6cf36ff8c3f17db09e207e6aac.xml,NA,NA,Palisades,USA,Palmer Station Antarctica LTER Office208 Geoscience61 Route 9W - PO Box 1000,NA,NA,NA,NA
01b9dc0d09d857cb52aeb4d6a347da4b.xml,Bridgeport,USA,Bridgeport,USA,900 Shackleton Pt Rd,NA,NA,NA,NA
01d2073305f229a6a735f65b04ac450e1bfa4434.xml,Albuquerque,USA,La Jolla,USA,California Current Ecosystem LTER Program Office,NA,NA,NA,NA
0224f3215aeafc2fbb2103e47a6aebaa586bd928.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
022d6fa12fdf8869bd619c20d753ccf1.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
02504652b976b6573ce8531a4501c249.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0264f164195d35d5d323337bfe9e97a2.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0266fc82ac803cbdbe7f3aa31ab48664.xml,Santa Barbara,United States,Santa Barbara,USA,Marine Science Institute,-120.11905,-120.11905,34.46774988,34.46774988
02c0db1762ecb5f14ae438c6481b6384.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
02c1a469efcf47eba7c296f1e04124ea.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
03c1909bf844c5554eddce13a93ef292.xml,Santa Barbara,United States,Santa Barbara,United States,Santa Barbara Coastal LTER,NA,NA,NA,NA
04cf8c8ccda5031e54656208efbb892afb17db3b.xml,NA,NA,Palisades,USA,"Palmer Station Antarctica LTER Office
208 Geoscience
61 Route 9W - PO Box 1000",NA,NA,NA,NA
04ff80680ef54aa5590500106f24a895771b0a01.xml,Albuquerque,USA,Miami,USA,Florida International University,NA,NA,NA,NA
053a8069dafc3a4b6bef41a1ace6a33cdc345d25.xml,Albuquerque,USA,Woods Hole,US,7 M B L St.,NA,NA,NA,NA
05b1ce4bf535ffee66905326b6e98e8c.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
061c383630f40ac29de1318b6b78ce01.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
062b74555d8008d25320bc60c14e7d72.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0644b875c9b6db07a583a39dba5fa11d.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0699a911ae0567a2a799a46ff1ea8264da194c82.xml,Albuquerque,USA,La Jolla,USA,California Current Ecosystem LTER Program Office,NA,NA,NA,NA
06cea803cf3198994c9e7fd0dfa6de2d.xml,Athens,USA,Athens,USA,Dept. of Marine Sciences,-81.483500,-81.286000,31.367700,31.305400
070262f5f767fb5becf44f9dd682e2e9.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
07459c9c58078d69a8dfc0fec7c122437371ab6d.xml,Albuquerque,USA,Ann Arbor,United State of America,University of Michigan,-149.633006,-149.586709,68.641131,68.624027
078933c0797313e02df76301c40bb27ef0d03ff8.xml,Albuquerque,USA,East Lansing,US,Department of Fisheries and Wildlife,NA,NA,NA,NA
07d070be2bf68862c27d7c07da3e682f.xml,Miami,USA,Miami,USA,11200 S.W. 8th Street,NA,NA,NA,NA
07f9746e741da14e018a4fbb0e7208f1.xml,Fairbanks,USA,Fairbanks,United States,Biology and Wildlife Irving I; North Koyukuk Dr.,-148.321607,-148.31034,64.70138,64.696143
08039dd35f6dcac67545d98990136c65.xml,Athens,USA,Athens,USA,Dept. of Marine Sciences,NA,NA,NA,NA
084033ac68865ebb8ce109d873a7fbb7.xml,NA,NA,Santa Barbara,USA,Marine Science Institute,NA,NA,NA,NA
087aebb55084afcd59bda3898588a3e620480745.xml,Albuquerque,USA,Athens,USA,Dept. of Marine Sciences,-81.444900,-81.339800,31.406700,31.332900
088b2ccbdcea09c086dac29f50f2fc58.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
08edc9fd1ef8a2c422a8b158d80e22a2.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0933f7a3768d2f4ff32953a8865603bd.xml,NA,NA,Palmerston,Australia,PO Box 496,130.68445,130.9701,-13.038,-13.52589
094cbd1eadbac984a8f307ac22e48028.xml,Santa Barbara,United States,Santa Barbara,USA,Marine Science Institute,-150.0,-149.67,-17.45,-17.62
0953d9b9c0708ea4353f0eed94ecc950.xml,Woods Hole,USA,Ann Arbor,United State of America,University of Michigan,-149.633006,-149.586709,68.641131,68.624027
0a0ddabb37675fd428043af1f87b74d7.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0a6ede0d0d9f3ae46c4d1c2eb66eeb1d839a9b8c.xml,Albuquerque,USA,Manhattan,USA,"116 Ackert Hall, Division of Biology, Kansas State University",NA,NA,NA,NA
0aa808ec9e38de42a7efbd83e03014337053b0ec.xml,NA,NA,La Jolla,USA,"California Current Ecosystem LTER Program Office
Scripps Institution of Oceanography
University of California, San Diego
9500 Gilman Dr.",NA,NA,NA,NA
0b20e9b00d6e53721712ad3e895b0e2caaf48fd5.xml,Albuquerque,USA,Athens,USA,Dept. of Marine Sciences,NA,NA,NA,NA
0bbe9eea1d092a3d659fe2cc6a40df1c5b19ec4f.xml,Albuquerque,USA,Woods Hole,United States of America,Marine Biological Laboratory,-149.612633,-149.612633,68.629961,68.629961
0bc82cf2f43934b4bad44713c3fdbd5b.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0bcce41410a251ee88dad41e45e6a78d.xml,Miami,USA,Miami,USA,Florida International University,NA,NA,NA,NA
0c5d323605b338d43dde2633c155506e56dc42f3.xml,Albuquerque,USA,Athens,USA,Daniel B. Warnell School of Forestry and Natural Resources,NA,NA,NA,NA
0d612da25d3a992d88246e506e3dfa41d271cd72.xml,NA,NA,Miami,USA,Florida International University,-80.856,-80.615,25.691,25.230
0e31d36af86cd38c395752034991e9fcd4032539.xml,Manhattan,US,Manhattan,US,"116 Ackert Hall, Division of Biology, Kansas State University",NA,NA,NA,NA
0ece580c4614f083b271e195180d3242.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0ed310125ab76261505215a1404a438f.xml,Athens,USA,Athens,USA,Dept. of Marine Sciences,-81.377000,-81.173900,31.547700,31.529700
0f13fc020b6fca752e8a36dcee9944c4.xml,Santa Barbara,United States,Santa Barbara,United States,Santa Barbara Coastal LTER,NA,NA,NA,NA
0f3f63f6c5b2328c5a20ce36038eb4c6.xml,Santa Barbara,USA,Santa Barbara,USA,Marine Science Institute,-150,-149.67,-17.45,-17.62
0f61fd864437601b32d2aa50d9cf072a.xml,Santa Barbara,United States,Santa Barbara,USA,Marine Science Institute,-119.74438,-119.74438,34.40017,34.40017
0f9944a9b85423424a1f2c07054bab96.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
0fcb5bccc110135114aa362c607d9065.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
102ff0760ae7962603ed782f0c699144.xml,Fairbanks,USA,Fairbanks,United States,Biology and Wildlife Irving I; North Koyukuk Dr.,-148.321607,-148.31034,64.70138,64.696143
103da9c9df46e547b7f57f1d79ccec1e.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
10733620a446647c126c1fecc1c6b14ffdc15551.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
10791f75ebdc4ca4c0adf14d188b9f9b1f47af8f.xml,Albuquerque,USA,Miami,USA,Florida International University,-80.856,-80.615,25.691,25.230
